Inventory,Vin,Year,Make,Model,Trim,Interior Color,Exterior Color,Odometer Value,Odometer Units,Drivetrain,Transmission Type,Engine Type,MMR,Condition Report Grade,Seller Name,Facilitation Location,Pickup Location,Starts At,Ends At,Lane,Run,Bid Count,Bid Amount,Buy Now Price,Event Sale Name,Seller Comments,Status,Notes
Simulcast,2C3CDXBG7KH657028,2019,DODGE,"CHARGER SXT",SXT,Black,Silver,111669,mi,RWD,Automatic,"6 Cylinder",9825,2.7,Fleet.go,"Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,10,125,,,,,,Live,
Simulcast,2HGFC2F82KH559415,2019,HONDA,SPORT,SPORT,Black,White,41246,mi,FWD,CVT,"4 Cylinder",20200,4.5,"Eccentric Cars Co","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,109,,,,,,Live,
Simulcast,KM8HB3AB0RU169581,2024,HYUNDAI,"KONA FWD 4C",SEL,Gray,Blue,13212,mi,FWD,CVT,"4 Cylinder",21500,5.0,"Autobahn 7 Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,131,,,,,,Live,
Simulcast,5NPDH4AE7FH620089,2015,HYUNDAI,SE,SE,Beige,Brown,72695,mi,FWD,Automatic,"4 Cylinder",3200,1.6,"Capital One Auto Finance","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,11,62,,,,,,Live,
Simulcast,1N4AA6CV5LC362538,2020,NISSAN,SV,SV,Gray,Blue,215788,mi,FWD,CVT,"6 Cylinder",3650,2.4,"Capital One Auto Finance","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,11,100,,,,,,Live,
Simulcast,1GYKNBRS8HZ255264,2017,CADILLAC,"LUXURY FWD","LUXURY FWD",Beige,Black,91197,mi,FWD,Automatic,"6 Cylinder",13400,4.2,"Massey Cadillac","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,3,,,,,,Live,
Simulcast,1GAZGPFG6K1212794,2019,CHEVROLET,"EXPRESS 3500",LT,Gray,White,66717,mi,RWD,Automatic,"8 Cylinder",23300,4.4,"Westfall Auto Sales Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,91,,,,,,Live,
Simulcast,KL7CJLSB8KB826027,2019,CHEVROLET,"TRAX LT",LT,Black,Silver,17590,mi,FWD,Automatic,"4 Cylinder Turbo",14850,4.4,"Westfall Auto Sales Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,27,,,,,,Live,
Simulcast,5NPDH4AE8DH273966,2013,HYUNDAI,"ELAN GLS",GLS,Gray,Gray,59549,mi,FWD,Automatic,"4 Cylinder",5375,3.8,"Westfall Auto Sales Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,39,,,,,,Live,
Simulcast,1FTFW1EVXAFB30319,2010,FORD,XLT,XLT,Beige,Blue,225912,mi,4WD,Automatic,"8 Cylinder",1975,,"Best Price Auto Outlet Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,148,,,,,,Live,
